"cod","cod_interno","erro","origem.motivo","origem.matricula","origem.inicio","origem.fim"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000009807","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000009826]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000009826","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010132]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010132","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010140]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010140","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010171]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010171","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000010323","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010356]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010356","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000010465","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010478]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010478","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000010533","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010594]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010594","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000010980]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000010980","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000011690]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000011690","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000012248]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000012248","2019-09-10T00:00:00","2019-09-30T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000012496]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000012496","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000012583]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000012583","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000013022]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000013022","2019-09-10T00:00:00","2019-09-30T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000013121]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000013121","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013126","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013194","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013244","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013305","2019-09-11T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000013382]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000013382","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000013470]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000013470","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013660","2019-09-02T00:00:00","2019-09-26T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013675","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000013876","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000014022","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000014088","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000014229","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000015164","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000015167","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000015638","2019-09-04T00:00:00","2019-09-29T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000016105","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000016986","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000017024]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000017024","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000017347","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000017440","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018171","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018272","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018402","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018486","2019-09-11T00:00:00","2019-10-01T00:00"
